Name,Type,Mean index value,Index value SD,Mean index value (visible),Index value (visible) SD,Area [ha],index_name,source_folder,measurement,altitude_m,CV
Zample2maly,Area,0.63522,0.08821,0.63263,0.08591,0.00031,GNDVI,"1 01LBZ20,05_L30",1,30,0.138865275
Zample2duzy,Area,0.60989,0.10341,0.60794,0.10134,0.0005,GNDVI,"1 01LBZ20,05_L30",1,30,0.169555166
Zample3maly,Area,0.65825,0.07873,0.65433,0.07554,0.00029,GNDVI,"1 01LBZ20,05_L30",1,30,0.119605013
Zample3duzy,Area,0.64036,0.09223,0.63711,0.08959,0.00053,GNDVI,"1 01LBZ20,05_L30",1,30,0.144028359
Zample4maly,Area,0.6697,0.07782,0.66295,0.07277,0.00039,GNDVI,"1 01LBZ20,05_L30",1,30,0.116201284
Zample4duzy,Area,0.65568,0.08666,0.65039,0.08274,0.00057,GNDVI,"1 01LBZ20,05_L30",1,30,0.132168131
Zample5maly,Area,0.66679,0.07815,0.65859,0.07176,0.00038,GNDVI,"1 01LBZ20,05_L30",1,30,0.117203317
Zample5duzy,Area,0.66791,0.07644,0.66214,0.07208,0.00072,GNDVI,"1 01LBZ20,05_L30",1,30,0.114446557
Zprze2maly,Area,0.65599,0.08573,0.6531,0.08351,0.00024,GNDVI,"1 01LBZ20,05_L30",1,30,0.130687968
Zprze2duzy,Area,0.62603,0.10134,0.62386,0.09959,0.00039,GNDVI,"1 01LBZ20,05_L30",1,30,0.161877226
Zprze3maly,Area,0.66883,0.07983,0.66373,0.07618,0.00031,GNDVI,"1 01LBZ20,05_L30",1,30,0.119357684
Zprze3duzy,Area,0.6566,0.08161,0.65293,0.07881,0.00049,GNDVI,"1 01LBZ20,05_L30",1,30,0.124291806
Zprze4maly,Area,0.68575,0.07384,0.67853,0.06877,0.00031,GNDVI,"1 01LBZ20,05_L30",1,30,0.107677725
Zprze4duzy,Area,0.65912,0.08779,0.65372,0.08386,0.0005,GNDVI,"1 01LBZ20,05_L30",1,30,0.133192742
Zprze5maly,Area,0.68183,0.0738,0.67546,0.06882,0.00037,GNDVI,"1 01LBZ20,05_L30",1,30,0.108238124
Zprze5duzy,Area,0.66742,0.08103,0.66235,0.07771,0.00062,GNDVI,"1 01LBZ20,05_L30",1,30,0.121407809
Zcarron3maly,Area,0.6322,0.0822,0.63113,0.08083,0.0004,GNDVI,"1 01LBZ20,05_L30",1,30,0.130022145
Zcarron3duzy,Area,0.62912,0.08479,0.62795,0.08345,0.00062,GNDVI,"1 01LBZ20,05_L30",1,30,0.13477556
Zcarron4maly,Area,0.6577,0.0722,0.65545,0.07031,0.00037,GNDVI,"1 01LBZ20,05_L30",1,30,0.109776494
Zcarron4duzy,Area,0.64141,0.07898,0.64008,0.07777,0.00072,GNDVI,"1 01LBZ20,05_L30",1,30,0.123134968
Zcarron5maly,Area,0.65918,0.07351,0.65638,0.07044,0.00042,GNDVI,"1 01LBZ20,05_L30",1,30,0.11151734
Zcarron5duzy,Area,0.65204,0.07733,0.64929,0.07473,0.00075,GNDVI,"1 01LBZ20,05_L30",1,30,0.118597019
Zcarron2maly,Area,0.59442,0.08901,0.59457,0.08691,0.00039,GNDVI,"1 01LBZ20,05_L30",1,30,0.149742606
Zcarron2duzy,Area,0.57247,0.10031,0.57271,0.0988,0.00063,GNDVI,"1 01LBZ20,05_L30",1,30,0.175223156
Zmor3maly,Area,0.6635,0.07276,0.65982,0.06971,0.00042,GNDVI,"1 01LBZ20,05_L30",1,30,0.109660889
Zmor3duzy,Area,0.65788,0.08028,0.65486,0.07762,0.00074,GNDVI,"1 01LBZ20,05_L30",1,30,0.122028333
Zmor4maly,Area,0.66271,0.08364,0.65788,0.08014,0.00044,GNDVI,"1 01LBZ20,05_L30",1,30,0.126209051
Zmor4duzy,Area,0.65798,0.08046,0.65468,0.07785,0.00069,GNDVI,"1 01LBZ20,05_L30",1,30,0.122283352
Zmor5maly,Area,0.66629,0.07352,0.66356,0.07133,0.00047,GNDVI,"1 01LBZ20,05_L30",1,30,0.110342343
